Team,Pos.,FIFA Popular Name,Birth Date,Age,Shirt Name,Club,Height,Weight
Germany,MF,BRANDT Julian,02/05/1996,22,BRANDT,Bayer 04 Leverkusen (GER),183,82
Germany,MF,GUENDOGAN Ilkay,24/10/1990,27,GÜNDOGAN,Manchester City FC (ENG),180,79
Germany,GK,TER STEGEN Marc-Andre,30/04/1992,26,TER STEGEN,FC Barcelona (ESP),187,85
Germany,FW,GOMEZ Mario,10/07/1985,32,GOMEZ,VfB Stuttgart (GER),189,82
Iceland,GK,HALLDORSSON Hannes,27/04/1984,34,HALLDORSSON,Randers FC (DEN),193,88
Iceland,DF,SAEVARSSON Birkir,11/11/1984,33,SÆVARSSON,Valur Reykjavik (ISL),186,75
Iceland,MF,FRIDJONSSON Samuel,22/02/1996,22,FRIDJÓNSSON,Valerenga IF (NOR),185,78
Iceland,MF,GUDMUNDSSON Albert,15/06/1997,21,A. GUDMUNDSSON,PSV Eindhoven (NED),177,80
Iceland,DF,INGASON Sverrir,05/08/1993,24,INGASON,FC Rostov (RUS),188,80
Iceland,DF,SIGURDSSON Ragnar,19/06/1986,32,R. SIGURDSSON,FC Rostov (RUS),187,86
Iceland,MF,GUDMUNDSSON Johann,27/10/1990,27,J. GUDMUNDSSON,Burnley FC (ENG),179,77
Iceland,MF,BJARNASON Birkir,27/05/1988,30,B. BJARNASON,Aston Villa FC (ENG),183,77
Iceland,FW,SIGURDARSON Bjorn,26/02/1991,27,SIGURDARSON,FC Rostov (RUS),187,85
Iceland,MF,SIGURDSSON Gylfi,08/09/1989,28,G. SIGURDSSON,Everton FC (ENG),186,82
Iceland,FW,FINNBOGASON Alfred,01/02/1989,29,FINNBOGASON,FC Augsburg (GER),185,79
Iceland,GK,SCHRAM Frederik,19/01/1995,23,SCHRAM,Roskilde BK (DEN),198,92
Iceland,GK,RUNARSSON Runar,18/02/1995,23,RÚNARSSON,FC Nordsjaelland (DEN),186,76
Iceland,DF,ARNASON Kari,13/10/1982,35,ARNASON,Aberdeen FC (SCO),191,82
Iceland,DF,EYJOLFSSON Holmar,06/08/1990,27,EYJÓLFSSON,Levski Sofia (BUL),188,81
Iceland,MF,SKULASON Olafur,01/04/1983,35,Ó. SKÚLASON,Karabukspor (TUR),184,79
Iceland,MF,GUNNARSSON Aron,22/04/1989,29,GUNNARSSON,Cardiff City FC (WAL),181,86
Iceland,DF,MAGNUSSON Hordur,11/02/1993,25,MAGNÚSSON,Bristol City FC (ENG),191,85
Iceland,MF,GISLASON Rurik,25/02/1988,30,GISLASON,SV Sandhausen (GER),184,78
Iceland,MF,HALLFREDSSON Emil,29/06/1984,33,HALLFREDSSON,Udinese Calcio (ITA),186,86
Iceland,MF,TRAUSTASON Arnor,30/04/1993,25,TRAUSTASON,Malmö FF (SWE),183,73
Iceland,FW,BODVARSSON Jon,25/05/1992,26,BÖDVARSSON,Reading FC (ENG),189,89
Iceland,DF,SKULASON Ari,14/05/1987,31,A. SKÚLASON,KSC Lokeren (BEL),170,63
IR Iran,GK,BEIRANVAND Ali,21/09/1992,25,A. BEIRANVAND,Persepolis FC (IRN),194,85
IR Iran,MF,TORABI Mehdi,10/09/1994,23,M. TORABI,Saipa Alborz FC (IRN),185,71
IR Iran,DF,HAJI SAFI Ehsan,25/02/1990,28,HAJI SAFI,Olympiacos Piraeus FC (GRE),178,75
IR Iran,DF,CHESHMI Roozbeh,24/07/1993,24,R. CHESHMI,Esteghlal Tehran FC (IRN),192,80
IR Iran,DF,MOHAMMADI Milad,29/09/1993,24,M. MOHAMMADI,FC Akhmat Grozny (RUS),178,69
IR Iran,MF,EZATOLAHI Saeid,01/10/1996,21,S. EZATOLAHI,FK Amkar Perm (RUS),190,82
IR Iran,MF,SHOJAEI Masoud,09/06/1984,34,SHOJAEI M.,AEK Athens (GRE),187,79
IR Iran,DF,POURALIGANJI Morteza,19/04/1992,26,M. POURALIGANJI,Al Sadd SC (QAT),187,83
IR Iran,MF,EBRAHIMI Omid,16/09/1987,30,OMID,Esteghlal Tehran FC (IRN),178,75
IR Iran,FW,ANSARIFARD Karim,03/04/1990,28,KARIM,Olympiacos Piraeus FC (GRE),187,80
IR Iran,MF,AMIRI Vahid,02/04/1988,30,V. AMIRI,Persepolis FC (IRN),179,71
IR Iran,GK,MAZAHERI Rashid,18/05/1989,29,RASHID,Zob Ahan Isfahan FC (IRN),192,84
IR Iran,DF,KHANZADEH Mohammad Reza,11/05/1991,27,M.R. KHANZADEH,Padideh FC (IRN),186,80
IR Iran,FW,GHODDOS  Saman,06/09/1993,24,GHODDOS,IFK Östersund FK (SWE),177,79
IR Iran,DF,MONTAZERI Pejman,06/09/1983,34,P. MONTAZERI,Esteghlal Tehran FC (IRN),185,77
IR Iran,FW,GHOOCHANNEJHAD Reza,20/09/1987,30,REZA,SC Heerenveen (NED),180,79
IR Iran,FW,TAREMI Mehdi,18/07/1992,25,MEHDI,Al Gharafa SC (QAT),187,80
IR Iran,FW,JAHANBAKHSH Alireza,11/08/1993,24,A. JAHANBAKHSH,AZ Alkmaar (NED),180,77
IR Iran,DF,HOSSEINI Majid,20/06/1996,22,M. HOSSEINI,Esteghlal Tehran FC (IRN),183,78
IR Iran,FW,AZMOUN Sardar,01/01/1995,23,SARDAR,FC Rubin Kazan (RUS),186,80
IR Iran,FW,DEJAGAH Ashkan,05/07/1986,31,DEJAGAH,Nottingham Forest FC (ENG),181,78
IR Iran,GK,ABEDZADEH Amir,26/04/1993,25,ABEDZADEH,CS Maritimo (POR),186,80
IR Iran,DF,REZAEIAN Ramin,21/03/1990,28,RAMIN,KV Oostende (BEL),185,75
Japan,GK,KAWASHIMA Eiji,20/03/1983,35,KAWASHIMA,FC Metz (FRA),185,74
Japan,DF,UEDA Naomichi,24/10/1994,23,UEDA,Kashima Antlers (JPN),186,79
Japan,DF,SHOJI Gen,11/12/1992,25,SHOJI,Kashima Antlers (JPN),182,74
Japan,MF,HONDA Keisuke,13/06/1986,32,HONDA,CF Pachuca (MEX),182,74
Japan,DF,NAGATOMO Yuto,12/09/1986,31,NAGATOMO,Galatasaray SK (TUR),170,68
Japan,DF,ENDO Wataru,09/02/1993,25,ENDO,Urawa Reds (JPN),178,75
Japan,MF,SHIBASAKI Gaku,28/05/1992,26,SHIBASAKI,Getafe CF (ESP),175,64
Japan,MF,HARAGUCHI Genki,09/05/1991,27,HARAGUCHI,Fortuna Düsseldorf (GER),178,68
Japan,FW,OKAZAKI Shinji,16/04/1986,32,OKAZAKI,Leicester City FC (ENG),174,70
Japan,MF,KAGAWA Shinji,17/03/1989,29,KAGAWA,Borussia Dortmund (GER),175,68
Japan,MF,USAMI Takashi,06/05/1992,26,USAMI,Fortuna Düsseldorf (GER),178,72
Japan,GK,HIGASHIGUCHI Masaaki,12/05/1986,32,HIGASHIGUCHI,Gamba Osaka (JPN),184,78
Japan,FW,MUTO Yoshinori,15/07/1992,25,MUTO,FSV Mainz 05 (GER),179,72
Japan,MF,INUI Takashi,02/06/1988,30,INUI,SD Eibar (ESP),169,59
Japan,FW,OSAKO Yuya,18/05/1990,28,OSAKO,1. FC Köln (GER),182,71
Japan,MF,YAMAGUCHI Hotaru,06/10/1990,27,YAMAGUCHI,Cerezo Osaka (JPN),173,72
Japan,MF,HASEBE Makoto,18/01/1984,34,HASEBE,Eintracht Frankfurt (GER),180,72
Japan,MF,OSHIMA Ryota,23/01/1993,25,OHSHIMA,Kawasaki Frontale (JPN),168,64
Japan,DF,SAKAI Hiroki,12/04/1990,28,H. SAKAI,Olympique Marseille (FRA),183,70
Japan,DF,MAKINO Tomoaki,11/05/1987,31,MAKINO,Urawa Reds (JPN),182,77
Japan,DF,SAKAI Gotoku,14/03/1991,27,G. SAKAI,Hamburger SV (GER),176,74
Japan,DF,YOSHIDA Maya,24/08/1988,29,YOSHIDA,Southampton FC (ENG),189,78
Japan,GK,NAKAMURA Kosuke,27/02/1995,23,NAKAMURA,Kashiwa Reysol (JPN),184,72
Korea Republic,GK,KIM Seunggyu,30/09/1990,27,S G KIM,Vissel Kobe (JPN),187,80
Korea Republic,DF,LEE Yong,24/12/1986,31,Y LEE,Jeonbuk Hyundai (KOR),180,74
Korea Republic,DF,JUNG Seunghyun,03/04/1994,24,S H JUNG,Sagan Tosu FC (JPN),188,74
Korea Republic,DF,OH Bansuk,20/05/1988,30,B S OH,Jeju United (KOR),189,79
Korea Republic,DF,YUN Youngsun,04/10/1988,29,Y S YUN,Seongnam FC (KOR),185,78
Korea Republic,DF,PARK Jooho,16/01/1987,31,J H PARK,Ulsan Hyundai FC (KOR),174,71
Korea Republic,FW,SON Heungmin,08/07/1992,25,H M SON,Tottenham Hotspur FC (ENG),183,76
Korea Republic,MF,JU Sejong,30/10/1990,27,S J JU,Asan Mugunghwa FC (KOR),176,70
Korea Republic,FW,KIM Shinwook,14/04/1988,30,S W KIM,Jeonbuk Hyundai (KOR),197,97
Korea Republic,MF,LEE Seungwoo,06/01/1998,20,S W LEE,Hellas Verona FC (ITA),170,63
Korea Republic,FW,HWANG Heechan,26/01/1996,22,H C HWANG,FC Red Bull Salzburg (AUT),177,77
Korea Republic,DF,KIM Minwoo,25/02/1990,28,M W KIM,Sangju Sangmu FC (KOR),172,69
Korea Republic,MF,KOO Jacheol,27/02/1989,29,J C KOO,FC Augsburg (GER),182,73
Korea Republic,DF,HONG Chul,17/09/1990,27,C HONG,Sangju Sangmu FC (KOR),176,67
Korea Republic,MF,JUNG Wooyoung,14/12/1989,28,W Y JUNG,Vissel Kobe (JPN),186,78
Korea Republic,MF,KI Sungyueng,24/01/1989,29,S Y KI,Swansea City AFC (WAL),186,75
Korea Republic,MF,LEE Jaesung,10/08/1992,25,J S LEE,Jeonbuk Hyundai (KOR),180,70
Korea Republic,MF,MOON Seonmin,09/06/1992,26,S M MOON,Incheon United FC (KOR),172,68
Korea Republic,DF,KIM Younggwon,27/02/1990,28,Y G KIM,Guangzhou Evergrande FC (CHN),184,74
Korea Republic,DF,JANG Hyunsoo,28/09/1991,26,H S JANG,FC Tokyo (JPN),187,77
Korea Republic,GK,KIM Jinhyeon,06/07/1987,30,J H KIM,Cerezo Osaka (JPN),193,82
Korea Republic,DF,GO Yohan,10/03/1988,30,Y H GO,FC Seoul (KOR),170,65
Korea Republic,GK,JO Hyeonwoo,25/09/1991,26,H W JO,Daegu FC (KOR),189,75
Mexico,GK,CORONA Jose,26/01/1981,37,J. CORONA,Cruz Azul (MEX),182,80
Mexico,DF,AYALA Hugo,31/03/1987,31,H. AYALA,Tigres UANL (MEX),188,82
Mexico,DF,SALCEDO Carlos,29/09/1993,24,C. SALCEDO,Eintracht Frankfurt (GER),189,83
Mexico,DF,MARQUEZ Rafael,13/02/1979,39,R. MÁRQUEZ,CF Atlas (MEX),184,77
Mexico,DF,REYES Diego,19/09/1992,25,D. REYES,FC Porto (POR),190,77
Mexico,MF,DOS SANTOS Jonathan,26/04/1990,28,J. DOS SANTOS,LA Galaxy (USA),173,69
Mexico,MF,LAYUN Miguel,25/06/1988,29,M. LAYÚN,Sevilla FC (ESP),180,72
Mexico,FW,FABIAN Marco,21/07/1989,28,M. FABIÁN,Eintracht Frankfurt (GER),171,70
Mexico,FW,JIMENEZ Raul,05/05/1991,27,RAÚL,SL Benfica (POR),188,79
Mexico,MF,DOS SANTOS Giovani,11/05/1989,29,G. DOS SANTOS,LA Galaxy (USA),178,70
Mexico,FW,VELA Carlos,01/03/1989,29,CARLOS V,Los Angeles FC (USA),178,78
Mexico,GK,TALAVERA Alfredo,18/09/1982,35,A. TALAVERA,Deportivo Toluca FC (MEX),188,84
Mexico,GK,OCHOA Guillermo,13/07/1985,32,G. OCHOA,Standard Liège (BEL),185,76
Mexico,FW,HERNANDEZ Javier,01/06/1988,30,J. HERNÁNDEZ,West Ham United FC (ENG),175,71
Mexico,DF,MORENO Hector,17/01/1988,30,H. MORENO,Real Sociedad (ESP),182,82
Mexico,DF,HERRERA Hector,19/04/1990,28,H. HERRERA,FC Porto (POR),180,79
Mexico,MF,CORONA Jesus,06/01/1993,25,JESÚS C.,FC Porto (POR),174,69
Mexico,MF,GUARDADO Andres,28/09/1986,31,A. GUARDADO,Real Betis (ESP),167,63
Mexico,FW,PERALTA Oribe,12/01/1984,34,O. PERALTA,Club América (MEX),178,72
Mexico,MF,AQUINO Javier,11/02/1990,28,J. AQUINO,Tigres UANL (MEX),166,59
Mexico,DF,ALVAREZ Edson,24/10/1997,20,E. ÁLVAREZ,Club América (MEX),186,72
Mexico,FW,LOZANO Hirving,30/07/1995,22,H. LOZANO,PSV Eindhoven (NED),176,66
Mexico,MF,GALLARDO Jesus,15/08/1994,23,J. GALLARDO,Pumas UNAM (MEX),177,74
Morocco,GK,BOUNOU Yassine,05/04/1991,27,BOUNOU,Girona FC (ESP),190,77
Morocco,DF,HAKIMI Achraf,04/11/1998,19,HAKIMI,Real Madrid CF (ESP),179,65
Morocco,DF,MENDYL Hamza,21/10/1997,20,MENDYL,Lille OSC (FRA),179,70
Morocco,DF,DA COSTA Manuel,06/05/1986,32,DA COSTA,Istanbul Başakşehir FK (TUR),187,78
Morocco,DF,BENATIA Mehdi,17/04/1987,31,BENATIA,Juventus FC (ITA),188,88
Morocco,DF,SAISS Romain,26/03/1990,28,SAISS,Wolverhampton Wanderers FC (ENG),190,76
Morocco,MF,ZIYACH Hakim,19/03/1993,25,ZIYACH,AFC Ajax (NED),180,70
Morocco,MF,EL AHMADI Karim,27/01/1985,33,EL AHMADI,Feyenoord Rotterdam (NED),179,78
Morocco,FW,EL KAABI Ayoub,25/06/1993,24,EL KAABI,RS Berkane (MAR),182,72
Morocco,MF,BELHANDA Younes,25/02/1990,28,BELHANDA,Galatasaray SK (TUR),174,75
Morocco,MF,FAJR Faycal,01/08/1988,29,FAJR,Getafe CF (ESP),178,72
Morocco,GK,EL KAJOUI Monir,10/05/1989,29,EL KAJOUI,CD Numancia (ESP),190,88
Morocco,FW,BOUTAIB Khalid,24/04/1987,31,BOUTAIB,Yeni Malatyaspor (TUR),190,80
Morocco,MF,BOUSSOUFA Mbark,15/08/1984,33,BOUSSOUFA,Al Jazira (UAE),167,59
Morocco,MF,AIT BENNASSER Youssef,07/07/1996,21,AIT BENNASSER,SM Caen (FRA),184,75
Morocco,MF,AMRABAT Noureddine,31/03/1987,31,N. AMRABAT,CD Leganés (ESP),178,77
Morocco,DF,DIRAR Nabil,25/02/1986,32,DIRAR,Fenerbahce SK (TUR),187,82
Morocco,MF,HARIT Amine,18/06/1997,21,HARIT,FC Schalke 04 (GER),179,66
Morocco,FW,EN NESYRI Youssef,01/06/1997,21,EN-NESYRI,Malaga CF (ESP),188,75
Morocco,FW,BOUHADDOUZ Aziz,30/03/1987,31,BOUHADDOUZ,FC St. Pauli (GER),188,80
Morocco,MF,AMRABAT Sofyan,21/08/1996,21,S. AMRABAT,Feyenoord Rotterdam (NED),183,77
Morocco,GK,TAGNAOUTI Ahmed,05/04/1996,22,TAGNAOUTI,IRT Tanger (MAR),186,70
Morocco,MF,CARCELA Mehdi,01/07/1989,28,CARCELA,Standard Liège (BEL),176,67
Nigeria,GK,EZENWA Ikechukwu,16/10/1988,29,EZENWA,Enyimba FC (NGA),181,80
Nigeria,DF,IDOWU Bryan,18/05/1992,26,IDOWU,FK Amkar Perm (RUS),179,75
Nigeria,DF,ECHIEJILE Elderson,20/01/1988,30,ECHIEJILE,Cercle Brugge (BEL),185,82
Nigeria,MF,NDIDI Onyinye,16/12/1996,21,NDIDI,Leicester City FC (ENG),184,73
Nigeria,DF,EKONG William,01/09/1993,24,EKONG,Bursaspor (TUR),191,85
Nigeria,DF,BALOGUN Leon,28/06/1988,29,BALOGUN,FSV Mainz 05 (GER),190,89
Nigeria,FW,MUSA Ahmed,14/10/1992,25,MUSA,CSKA Moscow (RUS),173,65
Nigeria,MF,ETEBO Oghenekaro,09/11/1995,22,ETEBO,UD Las Palmas (ESP),174,74
Nigeria,FW,IGHALO Odion,16/06/1989,29,IGHALO,Changchun Yatai (CHN),188,83
Nigeria,MF,MIKEL John Obi,22/04/1987,31,MIKEL,Tianjin Teda (CHN),188,82
Nigeria,FW,MOSES Victor,12/12/1990,27,MOSES,Chelsea FC (ENG),177,75
Nigeria,DF,SHEHU Abdullahi,12/03/1993,25,SHEHU,Bursaspor (TUR),182,75
Nigeria,FW,NWANKWO Simeon,07/05/1992,26,NWANKWO,FC Crotone (ITA),197,89
Nigeria,FW,IHEANACHO Kelechi,10/03/1996,22,IHEANACHO,Leicester City FC (ENG),183,80
Nigeria,MF,OBI Joel,22/05/1991,27,OBI,Torino FC (ITA),177,77
Nigeria,GK,AKPEYI Daniel,08/03/1986,32,AKPEYI,Chippa United FC (RSA),187,94
Nigeria,MF,ONAZI Ogenyi,25/12/1992,25,ONAZI,Trabzonspor (TUR),172,74
Nigeria,FW,IWOBI Alex,03/05/1996,22,IWOBI,Arsenal FC (ENG),185,86
Nigeria,MF,OGU John,20/04/1988,30,OGU,Hapoel Be'er Sheva FC (ISR),191,90
Nigeria,DF,AWAZIEM Chidozie,01/01/1997,21,AWAZIEM,FC Nantes (FRA),192,76
Nigeria,DF,EBUEHI Tyronne,16/12/1995,22,EBUEHI,ADO Den Haag (NED),187,74
Nigeria,DF,OMERUO Kenneth,17/10/1993,24,OMERUO,Kasimpasa SK (TUR),185,82
Nigeria,GK,UZOHO Francis,28/10/1998,19,UZOHO,Deportivo La Coruña (ESP),196,91
Panama,GK,PENEDO Jaime,26/09/1981,36,PENEDO,Dinamo Bucharest (ROU),183,70
Panama,DF,MURILLO Michael,11/02/1996,22,MURILLO,New York Red Bulls (USA),183,78
Panama,DF,CUMMINGS Harold,01/03/1992,26,CUMMINGS,San Jose Earthquakes (USA),183,92
Panama,DF,ESCOBAR Fidel,09/01/1995,23,ESCOBAR,New York Red Bulls (USA),182,82
Panama,DF,TORRES Roman,20/03/1986,32,R. TORRES,Seattle Sounders FC (USA),188,99
Panama,MF,GOMEZ Gabriel,29/05/1984,34,GOMEZ,Atlético Bucaramanga (COL),183,82
Panama,FW,PEREZ Blas,13/03/1981,37,PEREZ,CSD Municipal (GUA),187,83
Panama,MF,BARCENAS Edgar,23/10/1993,24,BARCENAS,Cafetaleros de Tapachula (MEX),175,72
Panama,FW,TORRES Gabriel,31/10/1988,29,G. TORRES,CD Huachipato (CHI),180,77
Panama,FW,DIAZ Ismael,12/05/1997,21,DIAZ,Deportivo La Coruña (ESP),181,72
Panama,MF,COOPER Armando,26/11/1987,30,COOPER,Club Universidad de Chile (CHI),173,72
Panama,GK,CALDERON Jose,14/08/1985,32,CALDERON,Chorrillo FC (PAN),187,87
Panama,DF,MACHADO Adolfo,14/02/1985,33,MACHADO,Houston Dynamo (USA),182,78
Panama,MF,PIMENTEL Valentin,30/05/1991,27,PIMENTEL,Plaza Amador (PAN),189,80
Panama,DF,DAVIS Eric,31/03/1991,27,DAVIS,DAC Dunajska Streda (SVK),180,81
Panama,FW,ARROYO Abdiel,13/12/1993,24,ARROYO,LD Alajuelense (CRC),183,82
Panama,DF,OVALLE Luis,07/09/1988,29,OVALLE,CD Olimpia (HON),178,75
Panama,FW,TEJADA Luis,28/03/1982,36,TEJADA,Sport Boys (PER),183,87
Panama,MF,QUINTERO Alberto,18/12/1987,30,QUINTERO,Universitario Lima (PER),165,62
Panama,MF,GODOY Anibal,10/02/1990,28,GODOY,San Jose Earthquakes (USA),183,82
Panama,MF,RODRIGUEZ Jose Luis,19/06/1998,20,J. RODRIGUEZ,KAA Gent (BEL),180,77
Panama,GK,RODRIGUEZ Alex,05/08/1990,27,RODRIGUEZ,San Francisco FC (PAN),197,83
Panama,DF,BALOY Felipe,24/02/1981,37,BALOY,CSD Municipal (GUA),185,87
Peru,GK,GALLESE Pedro,23/02/1990,28,GALLESE,CD Tiburones Rojos de Veracruz (MEX),189,79
Peru,DF,RODRIGUEZ Alberto,31/03/1984,34,RODRIGUEZ,Atletico Junior (COL),179,78
Peru,DF,CORZO Aldo,20/05/1989,29,CORZO,Universitario Lima (PER),172,75
Peru,DF,SANTAMARIA Anderson,10/01/1992,26,SANTAMARIA,Puebla FC (MEX),183,84
Peru,DF,ARAUJO Miguel,24/10/1994,23,ARAUJO,Alianza Lima (PER),178,77
Peru,DF,TRAUCO Miguel,25/08/1992,25,TRAUCO,CR Flamengo (BRA),169,74
Peru,MF,HURTADO Paolo,27/07/1990,27,HURTADO,Vitoria Guimaraes (POR),174,66
Peru,MF,CUEVA Christian,23/11/1991,26,CUEVA,Sao Paulo FC (BRA),169,69
Peru,FW,GUERRERO Paolo,01/01/1984,34,GUERRERO,CR Flamengo (BRA),185,88
Peru,FW,FARFAN Jefferson,26/10/1984,33,FARFAN,FC Lokomotiv Moscow (RUS),177,85
Peru,FW,RUIDIAZ Raul,25/07/1990,27,RUIDIAZ,CA Monarcas Morelia (MEX),169,67
Peru,GK,CACEDA Carlos,27/09/1991,26,CACEDA,Deportivo Municipal (PER),184,78
Peru,MF,TAPIA Renato,28/07/1995,22,TAPIA,Feyenoord Rotterdam (NED),185,85
Peru,MF,POLO Andy,29/09/1994,23,POLO,Portland Timbers (USA),174,71
Peru,DF,RAMOS Christian,04/11/1988,29,RAMOS,CD Tiburones Rojos de Veracruz (MEX),182,72
Peru,MF,CARTAGENA Wilder,23/09/1994,23,CARTAGENA,CD Tiburones Rojos de Veracruz (MEX),179,76
Peru,DF,ADVINCULA Luis,02/03/1990,28,ADVINCULA,Lobos BUAP (MEX),178,80
Peru,FW,CARRILLO Andre,14/06/1991,27,CARRILLO,Watford FC (ENG),182,77
Peru,MF,YOTUN Yoshimar,07/04/1990,28,YOTUN,Orlando City SC (USA),172,69
Peru,FW,FLORES Edison,14/05/1994,24,FLORES,Aalborg BK (DEN),170,72
Peru,GK,CARVALLO Jose,01/03/1986,32,CARVALLO,Universidad Técnica de Cajamarca (PER),182,84
Peru,DF,LOYOLA Nilson,26/10/1994,23,LOYOLA,FBC Melgar (PER),179,68
Peru,MF,AQUINO Pedro,13/04/1995,23,AQUINO,Lobos BUAP (MEX),174,71
Poland,GK,SZCZESNY Wojciech,18/04/1990,28,SZCZESNY,Juventus FC (ITA),195,84
Poland,DF,PAZDAN Michal,21/09/1987,30,PAZDAN,Legia Warsaw (POL),181,78
Poland,DF,JEDRZEJCZYK Artur,04/11/1987,30,JEDRZEJCZYK,Legia Warsaw (POL),189,78
Poland,DF,CIONEK Thiago,21/04/1986,32,CIONEK,SPAL Ferrara (ITA),184,81
Poland,DF,BEDNAREK Jan,12/04/1996,22,BEDNAREK,Southampton FC (ENG),189,77
Poland,MF,GORALSKI Jacek,21/09/1992,25,GORALSKI,PFC Ludogorets Razgrad (BUL),172,66
Poland,FW,MILIK Arkadiusz,28/02/1994,24,MILIK,SSC Napoli (ITA),186,81
Poland,MF,LINETTY Karol,02/02/1995,23,LINETTY,UC Sampdoria (ITA),176,73
Poland,FW,LEWANDOWSKI Robert,21/08/1988,29,LEWANDOWSKI,FC Bayern München (GER),185,79
Poland,MF,KRYCHOWIAK Grzegorz,29/01/1990,28,KRYCHOWIAK,West Bromwich Albion FC (ENG),186,83
Poland,MF,GROSICKI Kamil,08/06/1988,30,GROSICKI,Hull City FC (ENG),180,78
Poland,GK,BIALKOWSKI Bartosz,06/07/1987,30,BIALKOWSKI,Ipswich Town FC (ENG),194,83
Poland,MF,RYBUS Maciej,19/08/1989,28,RYBUS,FC Lokomotiv Moscow (RUS),173,75
Poland,FW,TEODORCZYK Lukasz,03/06/1991,27,TEODORCZYK,RSC Anderlecht (BEL),185,78
Poland,DF,GLIK Kamil,03/02/1988,30,GLIK,AS Monaco (FRA),190,80
Poland,MF,BLASZCZYKOWSKI Jakub,14/12/1985,32,BLASZCZYKOWSKI,VfL Wolfsburg (GER),175,71
Poland,MF,PESZKO Slawomir,19/02/1985,33,PESZKO,Lechia Gdansk (POL),173,68
Poland,DF,BERESZYNSKI Bartosz,12/07/1992,25,BERESZYNSKI,UC Sampdoria (ITA),182,72
Poland,MF,ZIELINSKI Piotr,20/05/1994,24,ZIELINSKI,SSC Napoli (ITA),177,64
Poland,DF,PISZCZEK Lukasz,03/06/1985,33,PISZCZEK,Borussia Dortmund (GER),184,79
Poland,MF,KURZAWA Rafal,29/01/1993,25,KURZAWA,Gornik Zabrze (POL),182,73
Poland,GK,FABIANSKI Lukasz,18/04/1985,33,FABIANSKI,Swansea City AFC (WAL),190,83
Poland,FW,KOWNACKI Dawid,14/03/1997,21,KOWNACKI,UC Sampdoria (ITA),185,75
Portugal,GK,RUI PATRICIO,15/02/1988,30,RUI PATRICIO,Sporting CP (POR),189,84
Portugal,DF,BRUNO ALVES,27/11/1981,36,B. ALVES,Rangers FC (SCO),187,83
Portugal,DF,PEPE,26/02/1983,35,PEPE,Besiktas JK (TUR),188,81
Portugal,MF,MANUEL FERNANDES,05/02/1986,32,M. FERNANDES,FC Lokomotiv Moscow (RUS),174,69
Portugal,DF,RAPHAEL GUERREIRO,22/12/1993,24,RAPHAEL,Borussia Dortmund (GER),170,64
Portugal,DF,JOSE FONTE,22/12/1983,34,FONTE,Dalian Yifang FC (CHN),191,84
Portugal,FW,CRISTIANO RONALDO,05/02/1985,33,RONALDO,Real Madrid CF (ESP),185,80
Portugal,MF,JOAO MOUTINHO,08/09/1986,31,J. MOUTINHO,AS Monaco (FRA),170,61
Portugal,FW,ANDRE SILVA,06/11/1995,22,ANDRÉ SILVA,AC Milan (ITA),184,78
Portugal,MF,JOAO MARIO,19/01/1993,25,J. MÁRIO,West Ham United FC (ENG),179,73
Portugal,MF,BERNARDO SILVA,10/08/1994,23,BERNARDO,Manchester City FC (ENG),173,65
Portugal,GK,ANTHONY LOPES,01/10/1990,27,LOPES,Olympique Lyon (FRA),184,81
Portugal,DF,RUBEN DIAS,14/05/1997,21,RUBEN DIAS,SL Benfica (POR),187,83
Portugal,MF,WILLIAM,07/04/1992,26,WILLIAM,Sporting CP (POR),190,80
Portugal,DF,RICARDO,06/10/1993,24,RICARDO,FC Porto (POR),174,70
Portugal,MF,BRUNO FERNANDES,08/09/1994,23,B. FERNANDES,Sporting CP (POR),183,64
Portugal,FW,GONCALO GUEDES,29/11/1996,21,G. GUEDES,Valencia CF (ESP),179,72
Portugal,FW,GELSON MARTINS,11/05/1995,23,GELSON,Sporting CP (POR),173,63
Portugal,DF,MARIO RUI,27/05/1991,27,MÁRIO RUI,SSC Napoli (ITA),168,67
Portugal,FW,RICARDO QUARESMA,26/09/1983,34,QUARESMA,Besiktas JK (TUR),175,73
Portugal,DF,CEDRIC,31/08/1991,26,CÉDRIC,Southampton FC (ENG),172,67
Portugal,GK,BETO,01/05/1982,36,BETO,Goztepe SK (TUR),183,79
Portugal,MF,ADRIEN SILVA,15/03/1989,29,ADRIEN,Leicester City FC (ENG),176,72
Russia,GK,AKINFEEV Igor,08/04/1986,32,AKINFEEV,CSKA Moscow (RUS),185,83
Russia,DF,MARIO FERNANDES,19/09/1990,27,FERNANDES,CSKA Moscow (RUS),187,79
Russia,DF,KUTEPOV Ilya,29/07/1993,24,KUTEPOV,FC Spartak Moscow (RUS),190,82
Russia,DF,IGNASHEVICH Sergey,14/07/1979,38,IGNASHEVICH,CSKA Moscow (RUS),186,84
Russia,DF,SEMENOV Andrey,24/03/1989,29,SEMENOV,FC Akhmat Grozny (RUS),191,87
Russia,MF,CHERYSHEV Denis,26/12/1990,27,CHERYSHEV,Villarreal CF (ESP),173,68
Russia,MF,KUZIAEV Daler,15/01/1993,25,KUZIAEV,FC Zenit St. Petersburg (RUS),182,74
Russia,MF,GAZINSKY Iury,20/07/1989,28,GAZINSKII,FC Krasnodar (RUS),180,75
Russia,MF,DZAGOEV Alan,17/06/1990,28,DZAGOEV,CSKA Moscow (RUS),178,73
